Timestamp,Sensor_ID,Schedule_Normalized,Cost_Normalized,Utilization_Normalized,Safety_Normalized,Risk_Normalized,Composite_Score,Performance_Category,Traffic_Light,Performance_Score,Performance_Score_Numeric
2023-01-01 00:00:00,Sensor_41,0.0,52.944533448609164,73.04160158631379,100.0,67.39391214928436,95.25310753017301,Excellent,green,Exceptional,95
2023-01-01 00:01:00,Sensor_27,0.07644847933408219,72.22735666939344,82.01386152420176,100.0,1.8828862326711773,94.8337229311737,Excellent,green,Exceptional,95
2023-01-01 00:02:00,Sensor_20,0.1549834536436909,45.197945991021435,13.470127848389808,100.0,14.53955912726018,92.33391916977321,Excellent,green,Exceptional,95
2023-01-01 00:03:00,Sensor_31,0.18104266424519025,80.00643764536241,67.93223610850237,100.0,85.1909391421254,96.74556764578473,Excellent,green,Exceptional,95
2023-01-01 00:04:00,Sensor_12,0.2356539600314065,60.27323110204764,92.1024712860588,100.0,79.61446051002395,96.30028942853062,Excellent,green,Exceptional,95
2023-01-01 00:05:00,Sensor_89,0.24814347929180644,52.67136336225096,25.13243402937279,100.0,25.1417719167444,93.17792695971333,Excellent,green,Exceptional,95
2023-01-01 00:06:00,Sensor_98,0.28653470700200434,45.694199910907756,58.501147452262444,100.0,97.42766246146263,95.27920066858235,Excellent,green,Exceptional,95
2023-01-01 00:07:00,Sensor_54,0.32789224061142086,56.69093772982772,27.4493926565477,100.0,66.45664094236619,94.34866388823386,Excellent,green,Exceptional,95
2023-01-01 00:08:00,Sensor_90,0.4202042116063245,39.88140733566002,77.44696002270803,100.0,46.74909515160751,94.31061299000983,Excellent,green,Exceptional,95
2023-01-01 00:09:00,Sensor_49,0.5196406820048847,69.30983884816348,58.06615409033785,100.0,79.51106106269819,95.9168559748666,Excellent,green,Exceptional,95
2023-01-01 00:10:00,Sensor_99,0.585294607717233,32.51842585188831,42.803006214111235,100.0,12.684564724557282,92.41123837845655,Excellent,green,Exceptional,95
2023-01-01 00:11:00,Sensor_40,0.6418527214634738,27.177801210127107,2.8816708852159394,50.0,11.072801927332293,46.375217211734196,Poor,orange,Exceptional,95
2023-01-01 00:12:00,Sensor_48,0.6915036765940024,12.645457756314928,94.49145000209447,100.0,4.314750482527138,92.53330261315837,Excellent,green,Exceptional,95
2023-01-01 00:13:00,Sensor_45,0.7031604217404507,17.39685315680878,49.77148058470527,100.0,85.369300104869,93.54965771191624,Excellent,green,Exceptional,95
2023-01-01 00:14:00,Sensor_92,0.785241916304851,73.06503923931437,80.41810313022614,100.0,92.07388525546558,96.88922537980325,Excellent,green,Exceptional,95
2023-01-01 00:15:00,Sensor_37,0.8557672509080171,37.29044382609251,39.18372936519404,100.0,44.391409527009394,93.26271399528808,Excellent,green,Exceptional,95
2023-01-01 00:16:00,Sensor_90,0.9242622206713291,77.01584375381465,84.91892173127579,100.0,20.75668549787377,95.55311273292322,Excellent,green,Exceptional,95
2023-01-01 00:17:00,Sensor_27,1.0071478266912441,77.10882373030562,15.990871544454578,100.0,70.89601865650002,95.10200024484602,Excellent,green,Exceptional,95
2023-01-01 00:18:00,Sensor_98,1.1007536794966202,66.37655725880978,23.138605678746288,100.0,75.90487930964211,94.90440126300442,Excellent,green,Exceptional,95
2023-01-01 00:19:00,Sensor_21,1.1458503925521946,44.37964990460336,33.3315455006813,100.0,48.22892661285966,93.53374040505658,Excellent,green,Exceptional,95
2023-01-01 00:20:00,Sensor_7,1.1942685378574316,46.60343374916459,8.844272618071713,100.0,51.795541739231346,93.14807024557784,Excellent,green,Exceptional,95
2023-01-01 00:21:00,Sensor_32,1.2921156906120848,28.048919089774532,44.379959459468125,100.0,52.04614423755289,93.15078765345649,Excellent,green,Exceptional,95
2023-01-01 00:22:00,Sensor_70,1.3619743591322715,39.59009051546089,48.589622130649786,100.0,59.473723312692215,93.9312195406558,Excellent,green,Exceptional,95
2023-01-01 00:23:00,Sensor_49,1.448670953235475,36.78020246576857,11.465559391106183,100.0,27.29446808328212,92.21891772384423,Excellent,green,Exceptional,95
2023-01-01 00:24:00,Sensor_57,1.4786381351146418,53.692751004611374,42.705211446019575,100.0,38.53156855946552,93.94931256917623,Excellent,green,Exceptional,95
2023-01-01 00:25:00,Sensor_22,1.5172082677761216,50.232263255084,19.717748464577596,100.0,51.21958662950648,93.5521018196496,Excellent,green,Exceptional,95
2023-01-01 00:26:00,Sensor_35,1.5624919112839928,76.2070663965506,87.5305527158464,100.0,27.930196774071746,95.74845869769034,Excellent,green,Exceptional,95
2023-01-01 00:27:00,Sensor_3,1.6010492458338,48.48368677054282,50.92725757420638,100.0,73.83234963521386,94.70993439749529,Excellent,green,Exceptional,95
2023-01-01 00:28:00,Sensor_22,1.6907090381853764,42.231486778189655,95.20839391700358,100.0,10.815930181399994,94.02713083273765,Excellent,green,Exceptional,95
2023-01-01 00:29:00,Sensor_80,1.7467934722028469,72.1468869139141,34.13580707474347,100.0,61.58473497239079,95.09899342321354,Excellent,green,Exceptional,95
2023-01-01 00:30:00,Sensor_39,1.8427046806934193,45.62836385148538,34.13217085935372,100.0,67.24244558695003,94.04813830977376,Excellent,green,Exceptional,95
2023-01-01 00:31:00,Sensor_20,1.8816573971024504,53.132254072027976,33.86375722450836,100.0,45.77341659976806,93.88941347196464,Excellent,green,Exceptional,95
2023-01-01 00:32:00,Sensor_13,1.895020974119628,46.79471100126549,26.818818145269773,100.0,72.9609856277686,94.0613557990958,Excellent,green,Exceptional,95
2023-01-01 00:33:00,Sensor_39,1.9174659181102378,38.345176753758224,78.43018791639577,100.0,73.12791502724066,94.88267563654834,Excellent,green,Exceptional,95
2023-01-01 00:34:00,Sensor_67,1.9470278298675023,21.369468126620763,28.264900647266813,100.0,92.21518061584834,93.40055166901753,Excellent,green,Exceptional,95
2023-01-01 00:35:00,Sensor_51,2.014683629251366,61.65497139703931,28.792305997808825,100.0,34.80659756741641,93.90443789929262,Excellent,green,Exceptional,95
2023-01-01 00:36:00,Sensor_64,2.0410043089161585,9.44326116178592,4.6730587357165945,100.0,8.726493330578545,90.4315089769236,Excellent,green,Exceptional,95
2023-01-01 00:37:00,Sensor_45,2.0853775615898913,45.325843981035376,96.54833738354279,100.0,31.47402305945283,94.66955958142508,Excellent,green,Exceptional,95
2023-01-01 00:38:00,Sensor_20,2.167033012611482,74.65163084041794,88.63910771338533,100.0,43.22707220994497,96.05966035256337,Excellent,green,Exceptional,95
2023-01-01 00:39:00,Sensor_92,2.1882797036316206,75.50258530681508,29.242091072907982,100.0,28.821417248170157,94.3976668807422,Excellent,green,Exceptional,95
2023-01-01 00:40:00,Sensor_7,2.2055378454036694,51.44163787955117,52.07517830891993,100.0,3.354244957911974,93.2771418005979,Excellent,green,Exceptional,95
2023-01-01 00:41:00,Sensor_69,2.2641859001531155,59.54137328496949,48.27159330321825,100.0,66.35230546132728,94.97958096770208,Excellent,green,Exceptional,95
2023-01-01 00:42:00,Sensor_57,2.337075165465764,40.70189424076749,8.755020593203966,100.0,56.93227246794543,93.01458827775923,Excellent,green,Exceptional,95
